bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
16.0,5835.0,5787.0,48.0,99.17737789203085,0.8226221079691527,93353.0,88432.0,4921.0,15.378301486494946,58.51367419738407,43.13537271088912,17.970331233489127
17.0,5834.0,5784.0,50.0,99.14295509084675,0.8570449091532453,99187.0,94216.0,4971.0,16.384137561647456,59.10820451843044,42.724066956782984,18.95312814323074
18.0,5835.0,5791.0,44.0,99.24592973436161,0.75407026563839,105022.0,100007.0,5015.0,17.391190934954544,59.63139120095125,42.240200265996705,19.941575274177467
19.0,5834.0,5794.0,40.0,99.3143640726774,0.6856359273225934,110856.0,105801.0,5055.0,18.398766007470734,60.10701545778835,41.708249450317616,20.929970326409496
20.0,5835.0,5796.0,39.0,99.33161953727506,0.6683804627249401,116691.0,111597.0,5094.0,19.406688879459658,60.57074910820452,41.16406022874486,21.9075382803298
21.0,5834.0,5790.0,44.0,99.24580047994515,0.7541995200548541,122525.0,117387.0,5138.0,20.413568353030378,61.093935790725325,40.68036743769495,22.846827559361618
22.0,5835.0,5805.0,30.0,99.48586118251929,0.5141388174807133,128360.0,123192.0,5168.0,21.423056322646616,61.45065398335315,40.02759766070653,23.8374613003096
23.0,5834.0,5794.0,40.0,99.3143640726774,0.6856359273225934,134194.0,128986.0,5208.0,22.430631395162806,61.92627824019025,39.495646845027444,24.76689708141321
24.0,5835.0,5785.0,50.0,99.14310197086547,0.856898029134527,140029.0,134771.0,5258.0,23.43664137005168,62.52080856123662,39.08416719118494,25.63160897679726
25.0,5835.0,5788.0,47.0,99.19451585261353,0.8054841473864656,145864.0,140559.0,5305.0,24.443173044149663,63.07966706302022,38.63649401887055,26.495570216776624
26.0,5834.0,5784.0,50.0,99.14295509084675,0.8570449091532453,151698.0,146343.0,5355.0,25.449009119302175,63.67419738406659,38.22518826476441,27.32829131652661
27.0,5835.0,5795.0,40.0,99.31448157669237,0.6855184233076272,157533.0,152138.0,5395.0,26.456758091554732,64.14982164090368,37.69306354934895,28.199814643188137
28.0,5834.0,5788.0,46.0,99.21151868357902,0.7884813164209845,163367.0,157926.0,5441.0,27.463289765652714,64.69678953626635,37.23349977061363,29.02517919500092
29.0,5835.0,5793.0,42.0,99.280205655527,0.7197943444730015,169202.0,163719.0,5483.0,28.470690938432536,65.1961950059453,36.72550406751276,29.859383549151925
30.0,5834.0,5795.0,39.0,99.33150497086048,0.6684950291395211,175036.0,169514.0,5522.0,29.478439910685097,65.65992865636147,36.181488745676376,30.697935530604852
31.0,5835.0,5796.0,39.0,99.33161953727506,0.6683804627249401,180871.0,175310.0,5561.0,30.48636278267402,66.12366230677765,35.637299524103625,31.52490559251933
32.0,5834.0,5787.0,47.0,99.19437778539596,0.8056222146040426,186705.0,181097.0,5608.0,31.492720557035636,66.68252080856124,35.1898002515256,32.29261768901569
33.0,5835.0,5790.0,45.0,99.22879177377892,0.7712082262210771,192540.0,186887.0,5653.0,32.49960003060635,67.21759809750297,34.71799806689662,33.0597912612772
34.0,5834.0,5799.0,35.0,99.40006856359273,0.5999314364072745,198374.0,192686.0,5688.0,33.508044601804386,67.63376932223544,34.12572472043105,33.87587904360056
35.0,5835.0,5789.0,46.0,99.21165381319624,0.7883461868037642,204209.0,198475.0,5734.0,34.51475017563873,68.1807372175981,33.66598704195936,34.613707708406
36.0,5834.0,5798.0,36.0,99.38292766540967,0.6170723345903326,210043.0,204273.0,5770.0,35.5230208471004,68.6087990487515,33.085778201651095,35.402599653379546
37.0,5835.0,5800.0,35.0,99.40017137960582,0.5998286203941774,215878.0,210073.0,5805.0,36.53163931803479,69.02497027348394,32.49333095544915,36.188285960378984
38.0,5835.0,5796.0,39.0,99.33161953727506,0.6683804627249401,221713.0,215869.0,5844.0,37.53956219002372,69.48870392390012,31.949141733876395,36.93856947296372
39.0,5834.0,5794.0,40.0,99.3143640726774,0.6856359273225934,227547.0,221663.0,5884.0,38.54713726253991,69.96432818073721,31.4171909181973,37.67216179469749
40.0,5835.0,5782.0,53.0,99.0916880891174,0.9083119108826025,233382.0,227445.0,5937.0,39.55262553821969,70.59453032104638,31.04190478282669,38.30975240020212
41.0,5834.0,5805.0,29.0,99.50291395269112,0.4970860473088834,239216.0,233250.0,5966.0,40.562113507835925,70.93935790725327,30.377244399417343,39.096547100234666
42.0,5835.0,5784.0,51.0,99.12596401028277,0.8740359897172283,245051.0,239034.0,6017.0,41.56794958298843,71.54577883472056,29.977829251732132,39.72644174837959
43.0,5834.0,5797.0,37.0,99.36578676722661,0.6342132327733907,250885.0,244831.0,6054.0,42.576046354713725,71.98573127229488,29.40968491758116,40.441195903534854
44.0,5835.0,5795.0,40.0,99.31448157669237,0.6855184233076272,256720.0,250626.0,6094.0,43.58379532696628,72.46135552913199,28.87756020216571,41.12668198227765
45.0,5834.0,5801.0,33.0,99.43435035995886,0.5656496400411442,262554.0,256427.0,6127.0,44.59258769763705,72.85374554102259,28.26115784338554,41.85196670474947
46.0,5835.0,5795.0,40.0,99.31448157669237,0.6855184233076272,268389.0,262222.0,6167.0,45.60033666988961,73.32936979785968,27.729033127970077,42.520188097940654
47.0,5834.0,5802.0,32.0,99.45149125814193,0.5485087418580719,274223.0,268024.0,6199.0,46.60930294029674,73.70986920332938,27.100566263032633,43.23665107275367
48.0,5835.0,5793.0,42.0,99.280205655527,0.7197943444730015,280058.0,273817.0,6241.0,47.616704113076565,74.20927467300832,26.592570559931758,43.87389841371575
49.0,5834.0,5783.0,51.0,99.1258141926637,0.8741858073363034,285892.0,279600.0,6292.0,48.62236628849271,74.81569560047562,26.193329311982914,44.43738080101716
50.0,5835.0,5797.0,38.0,99.34875749785776,0.6512425021422388,291727.0,285397.0,6330.0,49.630463060218,75.26753864447087,25.637075584252877,45.086413902053714
51.0,5835.0,5796.0,39.0,99.33161953727506,0.6683804627249401,297562.0,291193.0,6369.0,50.63838593220693,75.73127229488703,25.092886362680105,45.72036426440572
