bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
14.0,2500.0,2482.0,18.0,99.28,0.7199999999999989,35007.0,32896.0,2111.0,13.347615801603531,58.68779538504309,45.34017958343956,15.583135954523922
15.0,2501.0,2479.0,22.0,99.1203518592563,0.8796481407436971,37508.0,35375.0,2133.0,14.353474859609829,59.299416180150125,44.9459413205403,16.584622597280823
16.0,2500.0,2481.0,19.0,99.24,0.7600000000000051,40008.0,37856.0,2152.0,15.360145421495115,59.82763413956074,44.467488718065624,17.5910780669145
17.0,2501.0,2485.0,16.0,99.36025589764094,0.6397441023590602,42509.0,40341.0,2168.0,16.368438991138376,60.27244926327495,43.904010272136574,18.607472324723247
18.0,2501.0,2491.0,10.0,99.60015993602559,0.3998400639744091,45010.0,42832.0,2178.0,17.379167072418607,60.55045871559633,43.171291643177724,19.66574839302112
19.0,2500.0,2482.0,18.0,99.28,0.7199999999999989,47510.0,45314.0,2196.0,18.386243386243386,61.05087572977481,42.66463234353142,20.63479052823315
20.0,2501.0,2489.0,12.0,99.52019192323071,0.47980807676928805,50011.0,47803.0,2208.0,19.396159963644624,61.38448707256047,41.98832710891584,21.649909420289855
21.0,2500.0,2482.0,18.0,99.28,0.7199999999999989,52511.0,50285.0,2226.0,20.403236277469407,61.88490408673895,41.48166780926954,22.58984725965858
22.0,2501.0,2485.0,16.0,99.36025589764094,0.6397441023590602,55012.0,52770.0,2242.0,21.411529847112668,62.329719210453156,40.91818936334049,23.537020517395185
23.0,2500.0,2488.0,12.0,99.52,0.480000000000004,57512.0,55258.0,2254.0,22.421040672574414,62.66333055323881,40.242289880664394,24.51552795031056
24.0,2501.0,2484.0,17.0,99.32027189124351,0.6797281087564926,60013.0,57742.0,2271.0,23.428928490278185,63.13594662218515,39.70701813190696,25.425803610744165
25.0,2500.0,2486.0,14.0,99.44,0.5600000000000023,62513.0,60228.0,2285.0,24.437627811860942,63.525159855435085,39.08753204357414,26.357986870897154
26.0,2501.0,2473.0,28.0,98.88044782087165,1.1195521791283483,65014.0,62701.0,2313.0,25.441052358230273,64.30358632193494,38.86253396370467,27.108084738434933
27.0,2500.0,2493.0,7.0,99.72,0.28000000000000114,67514.0,65194.0,2320.0,26.45259194338949,64.49819293855991,38.04560099517042,28.10086206896552
