bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
26.0,1665.0,1649.0,16.0,99.03903903903904,0.9609609609609606,43288.0,41824.0,1464.0,25.485811086669063,61.35792120704107,35.872110120372014,28.56830601092896
27.0,1665.0,1651.0,14.0,99.15915915915916,0.8408408408408405,44953.0,43475.0,1478.0,26.491862016854856,61.944677284157585,35.452815267302725,29.414749661705006
28.0,1665.0,1650.0,15.0,99.09909909909909,0.9009009009009077,46618.0,45125.0,1493.0,27.497303588512374,62.57334450963956,35.07604092112719,30.22438044206296
29.0,1665.0,1651.0,14.0,99.15915915915916,0.8408408408408405,48283.0,46776.0,1507.0,28.503354518698167,63.16010058675608,34.65674606805791,31.039150630391507
30.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,49948.0,48431.0,1517.0,29.51184288299707,63.579212070410726,34.06736918741366,31.92551087673039
31.0,1665.0,1652.0,13.0,99.21921921921921,0.7807807807807876,51613.0,50083.0,1530.0,30.51850317171114,64.12405699916178,33.60555382745064,32.73398692810458
32.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,53278.0,51736.0,1542.0,31.525772818953488,64.62699077954736,33.10121796059387,33.55123216601816
33.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,54943.0,53391.0,1552.0,32.53426118325239,65.04610226320202,32.511841079949626,34.4014175257732
34.0,1665.0,1656.0,9.0,99.45945945945945,0.5405405405405475,56608.0,55047.0,1561.0,33.54335890607957,65.4233025984912,31.879943692411636,35.263933376041
35.0,1665.0,1652.0,13.0,99.21921921921921,0.7807807807807876,58273.0,56699.0,1574.0,34.55001919479364,65.96814752724225,31.41812833244861,36.022236340533674
36.0,1664.0,1648.0,16.0,99.03846153846153,0.961538461538467,59937.0,58347.0,1590.0,35.5542420493946,66.63872590108969,31.084483851695083,36.69622641509434
37.0,1665.0,1651.0,14.0,99.15915915915916,0.8408408408408405,61602.0,59998.0,1604.0,36.560292979580396,67.2254819782062,30.66518899862581,37.405236907730675
38.0,1665.0,1652.0,13.0,99.21921921921921,0.7807807807807876,63267.0,61650.0,1617.0,37.56695326829447,67.77032690695725,30.203373638662782,38.12615955473098
39.0,1665.0,1657.0,8.0,99.51951951951952,0.4804804804804803,64932.0,63307.0,1625.0,38.57666034964992,68.10561609388097,29.528955744231048,38.95815384615385
40.0,1665.0,1651.0,14.0,99.15915915915916,0.8408408408408405,66597.0,64958.0,1639.0,39.58271127983571,68.69237217099749,29.109660891161774,39.6327028676022
41.0,1665.0,1656.0,9.0,99.45945945945945,0.5405405405405475,68262.0,66614.0,1648.0,40.5918090026629,69.06957250628668,28.477763503623777,40.42111650485437
42.0,1665.0,1652.0,13.0,99.21921921921921,0.7807807807807876,69927.0,68266.0,1661.0,41.598469291376965,69.61441743503772,28.015948143660758,41.09933774834437
43.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,71592.0,69921.0,1671.0,42.60695765567587,70.03352891869237,27.4265712630165,41.843806104129264
44.0,1665.0,1650.0,15.0,99.09909909909909,0.9009009009009077,73257.0,71571.0,1686.0,43.612399227333384,70.66219614417435,27.04979691684096,42.45017793594306
